Class,Feature,Importance,Mean_SHAP_Active,Mean_SHAP_Overall,Direction
With ezafe & Head Final,nominal_head_deprel_dislocated:topic,0.0012094732242956547,-0.008495058231939209,-0.0006686363013595995,Negative
With ezafe & Head Final,nominal_head_deprel_acl:relcl,0.0011325182200891432,-0.021030153747310078,-0.00019107099489338347,Negative
With ezafe & Head Final,nominal_head_deprel_vocative,0.00020395565810315449,-0.0037387609992048385,5.430055896646256e-06,Negative
With ezafe & Head Initial,has_anchor_dependent,0.20621257466615786,-0.14394974519401352,0.12190537015997487,Negative
With ezafe & Head Initial,num_dependents_modifier,0.19043708825824415,0.09334497626175198,-0.028976339084036847,Positive
With ezafe & Head Initial,np_depth,0.10196266247004385,0.013896556870521925,0.013896556870521925,Positive
With ezafe & Head Initial,distance,0.07184738002937562,-0.042120932013693005,0.013164486605653952,Negative
With ezafe & Head Initial,num_dependents_head,0.060403053815048416,0.015551852882356727,0.015551852882356727,Positive
With ezafe & Head Initial,relative_position_in_sent,0.043749073249321174,0.021553073672098515,0.011549912728329467,Positive
With ezafe & Head Initial,nmod_count,0.03519331510144272,0.00172306621396891,0.0038062932703544082,Positive
With ezafe & Head Initial,nominal_head_deprel_nmod,0.034659879232884945,-0.026868478434469403,0.010690799212907023,Negative
With ezafe & Head Initial,modifier_upos_NOUN,0.017638814272530928,0.01180392625094122,0.005213508642559782,Positive
With ezafe & Head Initial,head_feats,0.016710956761204827,0.007254732080726978,0.004241109789189827,Positive
With ezafe & Head Initial,modifier_deprel_appos,0.0162558843621872,-0.051792214001729675,0.0006975491215830221,Negative
With ezafe & Head Initial,amod_count,0.01604372922281867,0.01631541116810237,0.005208772462043604,Positive
With ezafe & Head Initial,modifier_deprel_amod,0.013650512067143098,0.007546508425599442,0.006250165278193049,Positive
With ezafe & Head Initial,nominal_head_deprel_conj,0.01287325224410612,0.020348561542940714,0.001997946996940465,Positive
With ezafe & Head Initial,modifier_deprel_nmod,0.012842784105228823,0.011741139576178308,0.0021982872416530155,Positive
With ezafe & Head Initial,modifier_is_plural,0.012458967528491564,0.034801804518939904,0.00357664150834516,Positive
With ezafe & Head Initial,nominal_head_deprel_obl,0.012029118530809116,0.00841049253907419,0.0026162622688512224,Positive
With ezafe & Head Initial,modifier_consonant_ending,0.011500922519767184,0.0008307357524232696,0.0030039595128522043,Positive
With ezafe & Head Initial,nominal_head_deprel_nsubj,0.011155741718793142,0.01601769575555012,0.0018379855862139395,Positive
With ezafe & Head Initial,nominal_head_deprel_obj,0.01098128986008082,0.009641832098411568,0.002236044824130865,Positive
With ezafe & Head Initial,modifier_feats,0.010471662073205051,0.025358726812358408,0.002327439890628088,Positive
With ezafe & Head Initial,nominal_head_upos_NOUN,0.009902912232691243,-0.001970013580765402,0.0028928958161185663,Negative
With ezafe & Head Initial,modifier_upos_ADJ,0.009071380218287869,0.002261183418946178,0.002570600566507883,Positive
With ezafe & Head Initial,head_is_plural,0.008848638649914893,0.022085947426018247,0.0019070754186681735,Positive
With ezafe & Head Initial,modifier_upos_PRON,0.007940413693925246,-0.0006250834457381426,0.0016023823888408528,Negative
With ezafe & Head Initial,nominal_head_upos_PROPN,0.0074920753868847135,0.02064712342278367,0.0013470305908502736,Positive
